# Deutsche Bedeutungen und Beispielsätze für Kaishi (#134), Henning 2026-09-21.
#
# Geschlüsselt auf die KARTEN-ID, nicht auf das Wort: 24 Wörter kommen im Deck
# doppelt vor, mit verschiedenen Bedeutungen (もう „schon"/„noch", 聞く
# „hören"/„fragen"). Eine wortgeschlüsselte Datei gäbe beiden Karten dasselbe
# und verlöre eine davon — siehe #134 und import/lib/tagging.js.
#
# Übersetzt wird aus dem JAPANISCHEN; die englische Zeile aus Kaishi ist die
# Gegenprobe, nicht die Vorlage. Kein Modell schreibt hier Bedeutungen, die es
# sich ausdenkt: jede Zeile hat drei Quellen, die übereinstimmen müssen — das
# Wort, die englische Bedeutung und der Beispielsatz.
#
# VIER KONVENTIONEN, einmal entschieden und 250-mal gleich angewandt:
#
#  1. „to <Verb>" wird der blanke Infinitiv: „machen", nicht „zu machen".
#  2. Die Zahl der Bedeutungen folgt dem Englischen. „to hit, to strike" wird
#     zweigliedrig. Das ist es, was die Karten voneinander trennt: mit nur je
#     einem deutschen Wort fielen im ganzen Deck 395 Karten zusammen statt 67
#     (gemessen 2026-09-21). Wo Deutsch anders schneiden muss, um zwei Karten
#     unterscheidbar zu halten, darf es das — und die Zeile bekommt eine Notiz.
#  3. Klammern bleiben Klammern, an derselben Stelle: „(polite)" → „(höflich)".
#  4. Substantive groß, Verben und Adjektive klein — deutsche Rechtschreibung,
#     auch wenn das Englische alles kleinschreibt.
#
# Spalten: card_id, wort, wort_de, satz_de, notiz
1708637439885	する	machen, tun	Er spielt Tennis.	Das Englische erklärt „lit: He does tennis“ — das zeigt する. Auf Deutsch sagt das niemand; die Erklärung gehört zur Wortbedeutung, nicht in den Satz.
1708637439993	事	Sache, Vorfall	Ich habe im Internet Dinge über Japan nachgeschlagen.	
1708637439886	なる	werden, sich ergeben, dazu kommen (etwas zu tun)	Japanischlernen gefällt mir inzwischen.	„inzwischen“ trägt なりました (ist geworden).
1708637439873	ある	vorhanden sein, es gibt (Unbelebtes)	Es gibt einen Stift.	
1708637439867	それ	das da	Das ist ein Buch.	
1708637439854	私	ich (höflich, allgemein)	Ich bin Ann.	
1708637439930	言う	sagen	Sag es bitte langsam.	ください ist höflich, aber nicht siezend — die App duzt durchgehend.
1708637439872	いる	da sein, es gibt (Lebewesen)	Ich habe einen älteren Bruder.	
1708637439911	思う	denken, finden	Ich finde, das hier ist gut.	
1708637439879	その	dieser da	Ist es das Buch da?	これ/それ/あれ und この/その/あの werden im ganzen Deck gleich geschnitten: hier — da — dort drüben. Sonst fallen sie auf Deutsch zusammen.
1708637439878	この	dieser hier	Welches Buch ist das von Yamada? Dieses hier?	
1708637439913	そう	so, auf diese Weise	Das finde ich auch.	
1708637439877	無い	nicht vorhanden, nicht da	Ich habe gerade nicht viel Zeit.	
1708637439908	来る	kommen	Kommst du morgen?	
1708637439856	さん	-san (höfliche Anrede)	Bist du Tom?	さん hat kein deutsches Gegenstück. „Herr Tom“ wäre falsch, also steht die Erklärung in der Bedeutung und der Satz lässt es weg.
1708637439860	いい	gut	Die Person da drüben ist ein guter Mensch.	
1708637439882	見る	sehen, ansehen	Mein älterer Bruder sieht jeden Tag fern.	
1708637439945	くれる	geben (mir oder meinen Leuten)	Mein Vater hat mir ein Buch gegeben.	くれる heißt „mir geben“ — das „mir“ steht im Japanischen nicht, gehört im Deutschen aber hin.
1708637439865	これ	das hier	Das hier ist ein Buch auf Japanisch.	
1708637440034	俺	ich (männlich, salopp)	Ich höre gern Rock.	俺 ist ein betont männliches, saloppes „ich“ — im Deutschen nicht abbildbar, deshalb die Klammer.
1708637440068	やる	machen (salopp), erledigen	Lass uns zusammen Hausaufgaben machen.	Bewusst nicht „machen, tun“ wie bei する — sonst fielen die beiden Karten auf Deutsch zusammen.
1708637439947	物	Ding, Gegenstand	Ich habe viele verschiedene Sachen bekommen.	
1708637439880	あの	jener dort	Das Buch da drüben?	
1708637439939	もう	schon, bereits	Er ist schon nach Hause gegangen.	
1708637439940	もう	noch (mehr), noch einmal	Ich will noch ein bisschen essen.	Dieselbe Vokabel もう wie oben, andere Bedeutung — die zwei Karten bleiben auf Deutsch unterscheidbar.
1708637439906	行く	gehen, fahren	Ich gehe zur Schule.	
1708637439891	ここ	hier	Hier ist ein Buch.	
1708637439866	何	was	A: „Was ist das?“ B: „Ein Buch.“	
1708637439875	今	jetzt	Er lernt gerade.	
1708637439991	自分	selbst, sich selbst	Wörter, die du nicht verstehst, schlag bitte selbst nach.	
1708637439919	聞く	hören	Sie hört gerade Radio.	
1708637439920	聞く	fragen	Frag Tom.	Dasselbe Wort 聞く, hier „fragen“ statt „hören“.
1708637439899	知る	kennen, wissen	Kennst du die Person da drüben?	
1708637439859	人	Mensch, Person	Die Person da drüben ist ein guter Mensch.	
1708637439861	人	-er (Herkunft, z. B. Japaner)	Ich komme aus Großbritannien.	Wörtlich „Ich bin Brite/Britin“ — Deutsch erzwingt ein Geschlecht, Japanisch nicht. Deshalb umformuliert.
